Date,Holiday
2018-03-30,Good Friday
2018-04-01,Easter Sunday
2018-04-02,Easter Monday
2018-04-27,King’s Day
2018-05-10,Ascension Day
2018-06-20,Pentecost Sunday
2018-06-21,Whit Monday
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year’s Day
2019-04-19,Good Friday
2019-04-21,Easter Sunday
2019-04-22,Easter Monday
2019-04-27,King’s Day
2019-05-30,Ascension Day
2019-06-09,Pentecost Sunday
2019-06-10,Whit Monday
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year’s Day